id,name,task_description,area,budgeted_amount,status,asset_id,asset_type,fiscal_year,start_date,inactive,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1850147310,BRIDGE REPAIRS,Columbus Avenue Bridge Handicapped Ramp and Intersection Improvements,Engineering and Construction,100000,Planned,Columbus Avenue Bridge,Bridge,2017,2017-02-08,f,Manchester,6,21,42003210700,1,21,1,1-8,40.45848456,-80.02443938
578777540,CARNAHAN ROAD WENZELL AVENUE (TIP),Construction,Engineering and Construction,560000,Planned,Carnahan Road Bridge,Bridge,2017,2017-02-08,f,Banksville,2,20,42003202300,5,20,6,4-9,40.40714062,-80.03434176
579358971,CARNAHAN ROAD WENZELL AVENUE (TIP),Construction,Engineering and Construction,2240000,Planned,Carnahan Road Bridge,Bridge,2017,2017-02-08,f,Banksville,2,20,42003202300,5,20,6,4-9,40.40714062,-80.03434176
726259916,CHARLES ANDERSON BRIDGE (TIP),Preliminary Engineering Phase,Engineering and Construction,35450,Planned,Charles Anderson Bridge,Bridge,2017,2017-02-08,f,Central Oakland,3,4,42003040900,3,4,4,2-8,40.43441416,-79.95013126
2027345037,CHARLES ANDERSON BRIDGE (TIP),Preliminary Engineering Phase,Engineering and Construction,673550,Planned,Charles Anderson Bridge,Bridge,2017,2017-02-08,f,Central Oakland,3,4,42003040900,3,4,4,2-8,40.43441416,-79.95013126
1333025252,GREENFIELD AVENUE BRIDGE (TIP),Construction,Engineering and Construction,40000,Completed,Beechwood Boulevard Bridge,Bridge,2017,2017-02-08,f,Greenfield,5,15,42003151700,3,15,4,2-12,40.42839915,-79.93795474
731599247,GREENFIELD AVENUE BRIDGE (TIP),Construction,Engineering and Construction,760000,Completed,Beechwood Boulevard Bridge,Bridge,2017,2017-02-08,f,Greenfield,5,15,42003151700,3,15,4,2-12,40.42839915,-79.93795474
1911757466,McFARREN STREET (SECOND AVENUE) BRIDGE (TIP),"Final Design, Utility Clearance",Engineering and Construction,35750,In Progress,MacFarren St Bridge,Bridge,2018,2018-02-08,f,,5,,42003141400,,,,,40.41516123,-79.91564882
1537317222,McFARREN STREET (SECOND AVENUE) BRIDGE (TIP),"Final Design, Utility Clearance",Engineering and Construction,679250,In Progress,MacFarren St Bridge,Bridge,2018,2018-02-08,f,,5,,42003141400,,,,,40.41516123,-79.91564882
1949240942,WEST OHIO STREET BRIDGE (TIP),Construction Phase,Engineering and Construction,130500,Planned,West Ohio Street Bridge,Bridge,2017,2017-02-08,f,Allegheny West,1,22,42003562700,1,22,1,1-7,40.45161859,-80.01067255
1975162648,WEST OHIO STREET BRIDGE (TIP),Construction Phase,Engineering and Construction,2479500,Planned,West Ohio Street Bridge,Bridge,2017,2017-02-08,f,Allegheny West,1,22,42003562700,1,22,1,1-7,40.45161859,-80.01067255
845185720,ADA COMPLIANCE,Hearing Loops in Healthy Active Living Centers - South Side Market House,Administration/Sub-Award,8400,Planned,Southside Market House,Facility,2017,2017-02-08,f,South Side Flats,3,17,42003170200,3,17,3,4-24,40.4294384,-79.98642546
607553520,BOB O'CONNOR GOLF COURSE,Bob O'Connor Golf Course,Facility Improvement,200000,Planned,Schenley Park Golf Course Clubhouse,Facility,2018,2018-02-08,f,Squirrel Hill North,5,14,42003140100,3,14,4,2-8,40.4383258,-79.93462781
468982182,FACILITY IMPROVEMENTS,City-County Building - Council Chambers,Facility Improvement,25000,Completed,City-County Building,Facility,2017,2017-02-08,f,Central Business District,6,1,42003020100,6,1,2,1-4,40.43812088,-79.9968965
2108512192,FACILITY IMPROVEMENTS,City-County Building - Elevator #6,Facility Improvement,321000,Planned,City-County Building,Facility,2017,2017-02-08,f,Central Business District,6,1,42003020100,6,1,2,1-4,40.43812088,-79.9968965
1070701448,FACILITY IMPROVEMENTS,Schenley Ice Rink - Upper Plaza Restoration,Facility Improvement,60000,Completed,Schenley Park Skating Rink Building,Facility,2017,2017-02-08,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43172557,-79.94526205
405227559,FACILITY IMPROVEMENTS,Schenley Ice Rink - Rink Renovations Design,Facility Improvement,225000,In Progress,Schenley Park Skating Rink Building,Facility,2018,2018-02-08,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43145027,-79.94475417
2140666962,FACILITY IMPROVEMENTS,Olympia Park Building Phase II Renovation,Facility Improvement,250000,In Progress,Olympia Park Recreation Center,Facility,2018,2018-02-08,f,Mount Washington,2,19,42003190300,5,19,3,4-1,40.43127842,-80.01830677
547678139,PARK RECONSTRUCTION - REGIONAL ASSET DISTRICT PARKS,Schenley Park Chiller,Facility Improvement,125000,Planned,Schenley Park Skating Rink Building,Facility,2017,2017-02-08,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43145027,-79.94475417
1339602670,RECREATION AND SENIOR CENTERS,Phillips - HVAC,Facility Improvement,350000,Planned,Phillips Gym and Recreation Center,Facility,2017,2017-02-08,f,Carrick,4,29,42003290400,3,29,3,4-23,40.3915773,-79.99095255
606249647,COMPREHENSIVE PLAN,South Side Park Master Plan,Administration/Sub-Award,40000,In Progress,Southside Park,Park,2018,2018-02-08,f,South Side Slopes,3,17,42003160800,3,17,3,4-22,40.42127838,-79.97805508
2126010814,COMPREHENSIVE PLAN,South Side Park Master Plan,Administration/Sub-Award,40000,In Progress,Southside Park,Park,2018,2018-02-08,f,South Side Slopes,3,17,42003160800,3,17,3,4-22,40.42127838,-79.97805508
1967446712,PARK RECONSTRUCTION,McKinley Park Green Infrastructure and Recreation Project,Facility Improvement,243350,In Progress,McKinley Park,Park,2018,2018-04-04,f,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41223888,-80.00186229
613070006,PARK RECONSTRUCTION,McKinley Park Green Infrastructure and Recreation Project,Facility Improvement,437500,In Progress,McKinley Park,Park,2018,2018-04-04,f,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41223888,-80.00186229
381547049,PARK RECONSTRUCTION,Sidewalk  Repair - Brookline Memorial Park,Facility Improvement,42250,Completed,Brookline Memorial Park,Park,2017,2017-02-08,f,Brookline,4,32,42003320600,5,32,6,4-25,40.39012622,-80.00412481
1521673392,PARK RECONSTRUCTION,Niagara Park,Facility Improvement,12000,Completed,Niagara Park,Park,2017,2017-02-08,f,South Oakland,3,4,42003040900,3,4,4,2-10,40.43471289,-79.96013827
1354715656,PARK RECONSTRUCTION,Lewis Hockey Relocation to McBride,Facility Improvement,50000,Planned,McBride Park,Park,2017,2017-02-08,f,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.37029791,-79.9055061
2109434793,PARK RECONSTRUCTION,Phillips Park Master Plan,Facility Improvement,30000,Completed,Phillips Park,Park,2017,2017-02-08,f,Carrick,4,29,42003290400,3,29,3,4-23,40.39059421,-79.99145985
1900248863,PARK RECONSTRUCTION,Moore Park Recreation Center Entry Stair Replacement,Facility Improvement,20000,Completed,Moore Park,Park,2017,2017-02-08,f,Brookline,4,19,42003191700,5,19,6,4-26,40.40514666,-80.0135003
1879912404,PLAY AREA IMPROVEMENTS,New Safety Surface - Cowley Playground,Facility Improvement,61180,Completed,Cowley Playground,Playground,2018,2018-02-08,f,Troy Hill,1,24,42003240600,1,24,1,1-2,40.45878639,-79.98808287
1671050307,PLAY AREA IMPROVEMENTS,New Play Structure - Cowley Playground,Facility Improvement,70000,Completed,Cowley Playground,Playground,2018,2018-02-08,f,Troy Hill,1,24,42003240600,1,24,1,1-2,40.45878639,-79.98808287
758321611,PLAY AREA IMPROVEMENTS,Upgrade Play Structure - Mellon Park,Facility Improvement,12000,Completed,Mellon Playground,Playground,2017,2017-02-08,f,Shadyside,8,7,42003070800,2,7,4,3-13,40.45390763,-79.91579734
1286287105,PLAY AREA IMPROVEMENTS,ADA Accessibility - Townsend Park,Facility Improvement,137500,Planned,Townsend Playground,Playground,2018,2018-02-08,f,Elliott,2,20,42003562600,5,20,6,1-17,40.44306836,-80.04019098
1153310619,PLAY AREA IMPROVEMENTS,New Play Structure - Mellon Park,Facility Improvement,15000,Completed,Mellon Playground,Playground,2017,2017-02-08,f,Shadyside,8,7,42003070800,2,7,4,3-13,40.45390763,-79.91579734
1403308971,PLAY AREA IMPROVEMENTS,New Safety Surface - Mellon Park,Facility Improvement,119660,Completed,Mellon Playground,Playground,2017,2017-02-08,f,Shadyside,8,7,42003070800,2,7,4,3-13,40.45390763,-79.91579734
1620987369,PLAY AREA IMPROVEMENTS,Replace Parts - Herschel Playground,Facility Improvement,7000,Canceled,Herschel Playground,Playground,2017,2017-02-08,f,Elliott,2,20,42003562600,5,20,6,1-17,40.44027003,-80.04339874
1191864617,PLAY AREA IMPROVEMENTS,Paint Structure - Herschel Playground,Facility Improvement,15000,Canceled,Herschel Playground,Playground,2017,2017-02-08,f,Elliott,2,20,42003562600,5,20,6,1-17,40.44027003,-80.04339874
923739155,PLAY AREA IMPROVEMENTS,New Safety Surface - Herschel Playground,Facility Improvement,64434,Canceled,Herschel Playground,Playground,2017,2017-02-08,f,Elliott,2,20,42003562600,5,20,6,1-17,40.44027003,-80.04339874
742926184,PLAY AREA IMPROVEMENTS,New Safety Surface - Larimer Playground,Facility Improvement,67500,Completed,Larimer Playground,Playground,2018,2018-02-08,f,Larimer,9,12,42003120400,2,12,5,3-12,40.46675583,-79.91340145
47231291,PLAY AREA IMPROVEMENTS,New Play Structure - Larimer Playground,Facility Improvement,70000,Completed,Larimer Playground,Playground,2018,2018-02-08,f,Larimer,9,12,42003120400,2,12,5,3-12,40.46675583,-79.91340145
540856505,PLAY AREA IMPROVEMENTS,New Safety Surface - Leolyn Parklet,Facility Improvement,60000,Completed,Leolyn Playground,Playground,2018,2018-02-08,f,Carrick,4,29,42003290200,3,29,3,4-12,40.399263,-79.98605378
1822145697,PLAY AREA IMPROVEMENTS,New Play Structure - Leolyn Parklet,Facility Improvement,70000,Completed,Leolyn Playground,Playground,2018,2018-02-08,f,Carrick,4,29,42003290200,3,29,3,4-12,40.399263,-79.98605378
654962804,PLAY AREA IMPROVEMENTS,New Safety Surface - Magee Playground,Facility Improvement,52500,Planned,Magee Playground,Playground,2017,2017-02-08,f,Greenfield,5,15,42003151700,3,15,4,2-15,40.42449135,-79.93726104
1072223121,PLAY AREA IMPROVEMENTS,New Play Structure - Magee Playground,Facility Improvement,70000,Planned,Magee Playground,Playground,2017,2017-02-08,f,Greenfield,5,15,42003151700,3,15,4,2-15,40.42449135,-79.93726104
846408033,PLAY AREA IMPROVEMENTS,New Safety Surface - Stratmore Parklet,Facility Improvement,30000,Canceled,Stratmore Playground,Playground,2017,2017-02-08,f,Crafton Heights,2,28,42003281500,5,28,6,1-18,40.43929832,-80.0559964
1485842438,PLAY AREA IMPROVEMENTS,New Play Structure - Stratmore Parklet,Facility Improvement,70000,Canceled,Stratmore Playground,Playground,2017,2017-02-08,f,Crafton Heights,2,28,42003281500,5,28,6,1-18,40.43929832,-80.0559964
1419860924,WATER FEATURE UPGRADES,Add Spray Feature Sensor - Leslie,Facility Improvement,30000,Completed,Leslie Playground,Playground,2018,2018-02-08,f,Central Lawrenceville,7,9,42003090200,2,9,2,3-3,40.47265896,-79.9581407
1836580435,WATER FEATURE UPGRADES,Add Spray Feature Sensor - Enright,Facility Improvement,30000,Completed,Enright Playground,Playground,2018,2018-02-08,f,East Liberty,9,8,42003111500,2,8,5,3-23,40.46208172,-79.92998958
543360921,WATER FEATURE UPGRADES,Add Spray Feature Sensor - Frazier,Facility Improvement,30000,Planned,Frazier Playground,Playground,2018,2018-02-08,f,South Oakland,3,4,42003040900,3,4,4,2-11,40.42921503,-79.95390952
1009565403,PARK RECONSTRUCTION,Manchester Field Improvements,Facility Improvement,3000,Completed,Manchester,Playing Field,2017,2017-02-08,f,Manchester,6,21,42003210700,1,21,1,1-8,40.45676059,-80.02480352
1706386928,PARK RECONSTRUCTION,Moore Park Soccer Field Reseeding and Maintenance,Facility Improvement,30000,In Progress,Moore Field 1,Playing Field,2018,2018-02-08,f,Brookline,4,19,42003191700,5,19,6,4-26,40.40486072,-80.01260445
1817614256,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Moore Park,Facility Improvement,70000,In Progress,Moore Field 2,Playing Field,2018,2018-09-26,f,Brookline,4,19,42003191700,5,19,6,4-26,40.40496488,-80.01395494
1693386840,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Paul J. Sciullo II Memorial Park,Facility Improvement,35000,Completed,Officer Paul J. Sciullo II Memorial Field,Playing Field,2017,2017-02-08,f,Lower Lawrenceville,7,8,42003060300,2,8,2,3-1,40.46235444,-79.95471143
670505821,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - McGonigle Park,Facility Improvement,35000,Completed,McGonigle,Playing Field,2017,2017-02-08,f,Sheraden,2,20,42003562500,5,20,6,1-16,40.46002342,-80.06573203
1617882293,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Chartiers Park,Facility Improvement,35000,In Progress,Chartiers,Playing Field,2018,2018-09-26,f,Windgap,2,28,42003563000,5,28,6,1-16,40.45702093,-80.07406404
147153892,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Fineview Park,Facility Improvement,35000,In Progress,Fineview,Playing Field,2018,2018-09-26,f,Fineview,6,25,42003250900,1,25,1,1-10,40.45993333,-80.004219
1748771286,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Mellon Park,Facility Improvement,35000,In Progress,Mellon Field 2,Playing Field,2018,2018-09-26,f,Shadyside,8,7,42003070800,2,7,4,3-13,40.45522374,-79.91532243
1081059875,SPORT FACILITY IMPROVEMENTS,Phase II Schenely Park Oval Turf Package,Facility Improvement,240000,Completed,Oval,Playing Field,2017,2017-02-08,f,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43250117,-79.9434023
55267138,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Frazier Park,Facility Improvement,35000,In Progress,Dan Marino,Playing Field,2018,2018-09-26,f,South Oakland,3,4,42003040900,3,4,4,2-11,40.4292221,-79.95463089
442224800,SPORT FACILITY IMPROVEMENTS,Court Activation Button - Gardner,Facility Improvement,5200,Canceled,Gardner,Playing Field,2017,2017-02-08,f,Troy Hill,1,24,42003240600,1,24,1,1-2,40.4616534,-79.98602484
248108512,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Magee Playground,Facility Improvement,85000,Canceled,Magee Field 1,Playing Field,2017,2017-02-08,f,Greenfield,5,15,42003151700,3,15,4,2-15,40.4257722,-79.9376695
1442015202,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Spring Hill Park,Facility Improvement,35000,Completed,Spring Hill,Playing Field,2017,2017-02-08,f,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.47037226,-79.99226563
462068230,SPORT FACILITY IMPROVEMENTS,Ballfield Renovations - Volunteer's Field,Facility Improvement,65000,Planned,Volunteers Field 4,Playing Field,2017,2017-02-08,f,Carrick,4,29,42003290100,3,29,3,4-23,40.39737231,-79.99446412
77586942,POOL REHABILITATION,Pool Liner - Sue Murray,Facility Improvement,55000,Completed,Sue Murray,Pool,2017,2017-02-08,f,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45128744,-80.00147818
979654971,POOL REHABILITATION,Relocate Filter Building Above Ground - Riverview,Facility Improvement,800000,Planned,Riverview,Pool,2017,2017-02-08,f,Perry North,1,26,42003980400,1,26,1,1-15,40.4796929,-80.01844504
918434085,POOL REHABILITATION,ADA Site Accessibility - Riverview,Facility Improvement,800000,Planned,Riverview,Pool,2017,2017-02-08,f,Perry North,1,26,42003980400,1,26,1,1-15,40.4796929,-80.01844504
1713472049,POOL REHABILITATION,Pool Liner - West Penn,Facility Improvement,55000,Completed,West Penn,Pool,2017,2017-02-08,f,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45526295,-79.96994512
1617483728,AUDIBLE PEDESTRIAN AND TRAFFIC SIGNALS,Brownsville Road and Parkfield Street,Engineering and Construction,100000,In Progress,TS168,Signalized Intersection,2018,2018-02-08,f,Carrick,4,29,42003290400,3,29,3,4-12,40.391331,-79.98660607
868104804,AUDIBLE PEDESTRIAN AND TRAFFIC SIGNALS,Walnut Street and South Aiken Avenue Traffic Signal Update,Engineering and Construction,200000,Completed,TS7,Signalized Intersection,2018,2018-01-16,f,Shadyside,8,7,42003070300,2,7,4,3-22,40.45063462,-79.9355028
439928329,BIKE INFRASTRUCTURE,Bike Facilities - Baum/Centre Crossing,Engineering and Construction,100000,Planned,TS216,Signalized Intersection,2017,2017-02-08,f,Shadyside,8,7,42003070900,2,7,4,3-11,40.4572618,-79.93405726
1806724539,PENNDOT LOCAL SHARE (TIP),Signal Replacement,Engineering and Construction,3000,Planned,TS267,Signalized Intersection,2017,2017-02-08,f,East Allegheny,1,23,42003563200,1,23,1,1-6,40.45641846,-79.99866027
168702050,STEP REPAIR AND REPLACEMENT,Carnahan Road/Banksville Steps,Engineering and Construction,125000,Planned,Carnahan Rd at Younger Ave from Banksville Ave,Step,2017,2017-02-08,f,Banksville,2,20,42003202300,5,20,6,4-9,40.40681922,-80.03601023
1274317060,STEP REPAIR AND REPLACEMENT,Lower Oakley Street Steps/Phase 2,Engineering and Construction,60000,Completed,Oakley Way from Joesphine St to McCord St,Step,2017,2017-02-08,f,South Side Slopes,3,16,42003160800,3,16,3,4-24,40.42353074,-79.9686893
1358827067,SLOPE FAILURE REMEDIATION,Baldauf Street Wall,Engineering and Construction,150000,Completed,Baldauf St,Retaining Wall,2017,2017-02-08,f,South Side Slopes,3,17,42003170600,3,17,3,4-3,40.42303306,-79.98001595
976733348,SLOPE FAILURE REMEDIATION,Brahm Street Wall,Engineering and Construction,400000,Completed,Brahm St,Retaining Wall,2017,2017-02-08,f,Spring Hill-City View,1,24,42003262000,1,24,1,1-24,40.46491451,-79.99852714
1734931717,ADA COMPLIANCE,Hearing Loops in Healthy Active Living Centers - Morningside,Administration/Sub-Award,8300,Planned,Morningside Senior Center,Facility,2017,2017-02-08,f,Morningside,7,10,42003101400,2,10,5,3-7,40.48389771,-79.92497828
537021270,ADA COMPLIANCE,Hearing Loops in Healthy Active Living Centers - Homewood,Administration/Sub-Award,8300,Planned,Homewood Senior Center,Facility,2017,2017-02-08,f,Homewood North,9,13,42003130200,2,13,5,3-17,40.45690353,-79.89300124
571915867,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Brashear Association (for Arlington Food Bank),Administration/Sub-Award,2500,In Progress,,Non-Asset,2018,2018-02-08,f,Allentown,3,18,42003180300,5,18,3,4-21,40.42162,-79.994561
2143189705,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Community Human Services,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43756,-79.953521
1364486196,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Emmaus Community of Pittsburgh,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,South Side Flats,3,16,42003160900,3,16,3,4-24,40.42546,-79.965961
548120448,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Community Human Services/Oakland Business Improvement District,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43756,-79.953521
1780500816,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Oakland Planning & Development Corp.,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Central Oakland,3,4,42003040500,3,4,4,2-14,40.440295,-79.956588
993396157,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,PA Cleanways of Allegheny County,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Perry South,6,26,42003261500,1,26,1,1-23,40.47045,-80.013791
1088735101,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Pennsylvania Resource Council,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42776229,-79.98416184
1011353526,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Persad Center,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.482217,-79.952386
1306020995,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Pittsburgh AIDS Task Force,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,East Liberty,9,11,42003111500,2,11,5,3-8,40.46211,-79.926281
151537107,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Shepherd Wellness Community,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-09,f,Bloomfield,7,8,42003080400,2,8,5,3-1,40.45966,-79.947351
1696718969,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Tree of Hope,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Squirrel Hill North,8,14,42003140300,3,14,4,2-18,40.44360122,-79.92105373
1995361909,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Vietnam Veterans Leadership,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Strip District,7,6,42003020300,6,6,2,3-2,40.45905,-79.973781
665932056,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Brashear Association,Administration/Sub-Award,13000,Planned,,Non-Asset,2017,2017-02-08,f,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42778,-79.977411
765817022,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Hilltop Alliance,Administration/Sub-Award,13000,Planned,,Non-Asset,2017,2017-02-08,f,Allentown,3,18,42003180300,5,18,3,4-6,40.42208,-79.992501
1784673740,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Western Pennsylvania Conservancy,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Troy Hill,1,24,42003240600,6,24,1,1-1,40.46432654,-79.97690068
1707167348,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Brashear Association,Administration/Sub-Award,3000,Planned,,Non-Asset,2017,2017-02-08,f,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42778,-79.977411
1503392411,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,PA Cleanways of Allegheny County,Administration/Sub-Award,3000,Planned,,Non-Asset,2017,2017-02-08,f,Perry South,6,26,42003261500,1,26,1,1-23,40.47045,-80.013791
855687619,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Angel's Place,Administration/Sub-Award,5000,Planned,,Non-Asset,2017,2017-02-08,f,Brookline,4,19,42003191800,5,19,6,4-26,40.392744,-80.025097
1521147785,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Pennsylvania Resources Council,Administration/Sub-Award,6000,Planned,,Non-Asset,2017,2017-02-08,f,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42773983,-79.98419134
1101090684,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Economic Development South,Administration/Sub-Award,10000,Planned,,Non-Asset,2017,2017-02-08,f,,,,42003478100,,,,,40.36574,-79.981881
1101613909,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Saint Mark's Evangelical Lutheran / Brookline Meals on Wheels,Administration/Sub-Award,12000,In Progress,,Non-Asset,2018,2018-02-08,f,Brookline,4,19,42003191900,5,19,6,4-26,40.39252,-80.017871
1814653410,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Elizabeth Seton Center,Administration/Sub-Award,12000,Planned,,Non-Asset,2017,2017-02-08,f,Brookline,4,19,42003191700,5,19,6,4-26,40.40387,-80.015861
1863873342,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Community Human Services,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Central Oakland,3,4,42003040600,3,4,4,2-11,40.43756,-79.953521
1976647247,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Jewish Family and Childrens Services - Refugee Services,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,40.43622838,-79.92372459
64074019,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Jewish Family and Childrens Services - Career Development,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Squirrel Hill South,5,14,42003141300,3,14,4,2-21,40.43620052,-79.92366113
1106814282,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Pittsburgh AIDS Task Force,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,East Liberty,9,11,42003111500,2,11,5,3-8,40.46211,-79.926281
1433254678,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Reading is Fundamental of Pittsburgh,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45262636,-80.00687478
229986650,CITY COUNCIL'S UNSPECIFIED LOCAL OPTION,Young Men and Women's Hebrew Association / Irene Kauffman Centers / JCC of Greater Pittsburgh,Administration/Sub-Award,2500,Planned,,Non-Asset,2017,2017-02-08,f,Squirrel Hill South,5,14,42003141300,3,14,4,2-18,40.43769262,-79.92393066
